Index,Sentence
1,Хэрэв ингэж чадахгүй бол бидний хувьд Ерөнхийлөгчийн тавьсан шаардлагыг дэмжих тал руугаа явна.
2,Тэрээр сүүлийн 26 жил ганц ч өдөр амралгүй ажилласан тухайгаа ярьсан нь Хятадын хэвлэлүүдэд нийтлэгдэж байжээ.
3,Гэхдээ бид энэ компанийг ажиллуулахгүй.
4,"Сайн байна уу, таныг хэн гэдэг вэ"
5,"Зуны тэргүүн сар гармагц айл бүр унагаа барьж, гүүгээ саадаг юм."
6,Шинээр ирсэн оюутнууд Соёлын өдөрлөг хэзээ болох вэ?
7,"Гэвч хөдөө, орон нутгийн замд зорчиж буй жолооч нар зайлшгүй зогсолт хийсэн үедээ замын зорчих хэсгийг бүрэн чөлөөлдөггүй, ослын зогсолтын тэмдэг байрлуулдаггүй"
8,Харин Монголд салбар бүрт манлайлагч эмэгтэйчүүд бий.
9,"Улаанбаатар-Дарханы хооронд түр зам гаргах чиглэл өгчээ Улаанбаатар-Дархан чиглэлийн авто замын шинэчлэлтэй холбогдуулан авто замын өнөөгийн байдал, цаашид авах арга хэмжээг тодорхойлж"
10,2018 онд 29 улсын 531 иргэнийг албадан гаргажээ
11,Эх сурвалжийн мэдээлснээр 300 орчим сая төгрөгийн үнэ бүхий хар тамхи хурааж авчээ.
12,1919 онд Үндсэн хуулиа баталж буй болсон Ваймерийн Бүгд Найрамдах улс гэж байсан.
13,Төв аймгийн Дэлгэрхаан сумын угшилтай түүний эхнэр Дуламрагчаа нь 1963 онд эхээс мэндэлжээ.
14,"Хүлэмжийн аж ахуйн хэрэглээний эрчим хүчийг өвлийн улирлын шөнийн тарифын хөнгөлөлтөд хамруулах, үр тариаг төмөр замаар тээвэрлэх боломж бүрдүүлэх, ургац тээврийн хүнд даацын автомашины тоог нэмэхээр болов."
15,Үзэсгэлэнд орсон ихэнх зураг нь Ховд аймгийн нэг гэр бүлийн зураг байсан.
16,Бяцхан үнэт эдлэлийн дэлгүүрийн эзэд болох алтны дархан Пер Эневолдсен болон түүний эхнэр Винни нар
17,Түүний ярилцлагыг үзнэ үү
18,Явган хүмүүс гудамжны захын өндөр байшингийн хаяагаар чихцэлдэн цувна.
19,Энэ бол мэдрэмжтэй улс төрчийн хийх зүйл огт биш.
20,"Харин дээрх үүргээ биелүүлэхийг үйлчилгээ эрхлэгч аж ахуйн нэгж, хуулийн этгээдэд заагаагүй бөгөөд Зөрчлийн тухай хуульд торгох зохицуулалт алга байгаа нь тус хууль хэрэгжих боломжийг хязгаарлаж байна."
21,Гадаадад суралцагчдыг зээлээс чөлөөлж байгаа юу?
22,"Монголын дуу хоолой радио мэдээлэл сайтай, нэвтрүүлгээ өвөрмөц сонирхолтой хийдэг."
23,Нөгөө талаас дэлхийн газрын тосны үнэ нь манай бензиний үнэд шууд нөлөөлдөг.
24,Үзлэгийн үеэр тэдний халааснаас 5 грамм орчим мансууруулах төрлийн бодис илэрсэн байна.
25,"Даунтай хүнээс дөлдөг, эсвэл тэднийг хэт өрөвдөж ялгаварлан гадуурхдаг хандлага манай нийгмээс арилаагүй хэвээр л байгаа."
26,"Эрэгтэй хүүхдээс ч долоон дор байх ч гэж дээ, ер нь болъё, энэ хэцүү сургуулиас гарах юмсан гэсэн бодол даваад ирлээ."
27,СҮРЬЕЭ өвчний эмчилгээг ХЭРХЭН ХИЙХ вэ
28,"Ингэхэд та өмнө нь хаана, ямар алба хашиж байв?"
29,Мөн үүнтэй зэрэгцэн Стандарт банкнаас Английн дээд шүүхэд энэ мөнгийг яаралтай төлүүлэхээр шийдвэрлэж өгөөч гэж хандсан байсан.
30,"Биедээ олон шивээс, олон газар цоолж ээмэг зүүлт зүүсэн нь сэтгэцийн эмгэгийн шалтгаан болж байна."
31,Эхний зөвлөмжийг өнгөрсөн онд Үндэсний аюулгүй байдлын зөвлөл (Үндэсний аюулгүй байдлын зөвлөл)-өөс гаргасан.
32,"Ундны усны эх үүсвэр нь үерийн ус, жорлонгийн бохиртой нийлж, улмаар хүн ундаалах аргагүй болж, иргэд ундны усаа машинаар зөөж хэрэглэх болсон юм."
33,Зарим хүн Америкийн Нэгдсэн Улсын Ерөнхийлөгчийн засаглалыг тэр чигээр нь хуулчихвал эдийн засгийн болон бусад асуудлаа шийднэ гэж хөнгөмсгөөр найддаг.
34,Энэ хэдэн он билээ ЭРДЭНЭ 1979 он шүү дээ.
35,Москвагийн Олон улсын харилцааны дээд сургууль төгссөн залуу эрд Монгол улсын гадаад харилцаанд жинхэнэ хүч сорих зүйл барагтай байсан болохоор Биеийн тамирын дээд сургуульд явах минь яалаа.
36,Баянхошуу дэд төвийг түшиглэсэн 240 хүүхдийн цэцэрлэг ашиглалтад орлоо
37,Энэ хүрээнд Монголын талаас санал болгосон
38,Аян 2018 оны аравдугаар сарын 29-ны өдрөөс арваннэгдүгээр сарын 15-ны өдрийг хүртэл үргэлжилсэн байдаг.
39,"Хохирогчдын хамгийн залуу нь найман настай, ихэнх нь 20 гаруй насныхан байсан юм."
40,Шүүх эрх мэдлийг ердөө гуравхан этгээдэд шилжүүлэн өгөх операц үүнтэй зэрэгцэн явагдлаа.
41,Дээрээс нь дотоод болон гадаад аудитын шалгалт хийгдэж байж судалгааг үнэн гэж санал нэгдэн баталдаг юм билээ.
42,"Бид хоёр нь хоёр хүү, гурван охин, өлгийдөн авч таван хүүхдийнхээ хайрт эрхэм хүндэт Аав Ээж нь болсон."
43,Гэхдээ Японд ийм зүйл хийхэд мөнгө их хэрэгтэй байдаг болохоор бага зэрэг асуудал байна.
44,"Л.Жавзмаа: Тагнуулынхан миний хүүг анх барихдаа л дарамтлах хүн, өрөөг бэлдсэн байсан"
45,Үнэхээр юм хийх цаг нь болсон” гэсэн байсан.
46,“Монгол Улсын Ерөнхийлөгчийн нэрийн өмнөөс дэлхий дахин дахь Монгол Улсын соёлын дүр төрхийг бүрдүүлэх салбарт хийсэн түүний үйл ажиллагааг өндрөөр үнэлж
47,Шинэ нөхцөл байдалдаа тохирсон арга хэлбэрээр аливаад хандахыг л цаг үе биднээс шаардаж байна.
48,Согтуурах донтой өвчний улмаас эмчлүүлэхээр ирж байгаа хүмүүсийн 50-60 хувь нь ямар нэгэн суурь өвчтэй ирдгээс эмчилгээнд хамрагдах боломжгүй эсвэл дундаас нь зогсоох шаардлагатай болдог байна.
49,"Хувь хүний гар дээрээс ил задгай газар, чанаргүй, баталгаагүй, хариуцлага хүлээх чадваргүй, эргэн холбогдох боломжгүй нөхцөлд үйлдвэрлэгдэж,"
50,"Энэ хооронд аав, ээж нь хүүхдүүдээ хайж ирдэг."
51,Үүний тулд хаана ямар дээлтэй байгаагаа эхлээд мэдэж авъя.
52,"Шинэ зүйл сурах, хүлээж авахад хамгийн тохиромжтой нас бол хүүхэд нас."
53,"Эцэстээ ханшийг барихын тулд бодлогын хүүг нэг нэгжээр өсгөж, 11 хувьд хүргэв."
54,"Аав, ээж нь юм чинь гээд загнаж аашлах туслах хөвгүүд цаашилдаг."
55,"Твиттер энэхүү өөрчлөлтөөсөө өмнө, өнгөрсөн жил нэг ижил жиргээг олон дахин жиргэх, нэг ижил контентыг олон дахин түгээсэн тохиолдолд тухайн хэрэглэгчдэд хязгаарлалт хийх өөрчлөлтийг эхлүүлж байсан юм."
56,"Тухайлбал: 1. Эдийн засгийн доройтол, ядуурал: 2017 оны байдлаар нийт өрхийн 29.6 хувь нь ядууралд өртсөн байна."
57,"Дотоодын, үйлдвэрлэгч стартапууд BOX Co-Trading төвд цуглана"
58,"Уг арга хэмжээний үеэр авилгаас урьдчилан сэргийлэх, авилгын эсрэг хууль тогтоомж, зөвлөмжийн хэрэгжилтийг хангах"
59,Тэгвэл энэхүү мэдээлэлтэй холбоотойгоор Монгол банканд ажилладаг хэрнээ Банк Бус Санхүүгийн Байгууллагатай гэгдэх нэр бүхий таван хүнд ёс зүйн хариуцлага хүлээлгэсэн тухай Монгол банкны хэвлэлийн төлөөлөгч мэдээллээ.
60,Ямар хэмжээний дарамт болох тооцоо байдаг уу?
61,"Энэхүү гэрийг шинэлэх, цагаалах ёслолыг гүйцэтгэхээр саяхан бэлтгэсэн бололтой."
62,"Энэ нь шууд бусаар эрдэс баялгийн онгон ордуудыг илрүүлэхэд хүргэсэн гэх ба тэр үед л бидний одоогийн хэрэглээний салшгүй хэсэг болсон алт болон бусад үнэт металл, чулууг олж авчээ."
63,Бид хоёрын яриа өндөрлөх дөхөж байна.
64,Өдөр бүр гарч буй ололт амжилтыг дагаад хэрэглэгчид хөгжих зайлшгүй шаардлага үүсэж байгаа.
65,"Бүсгүй минь, нүүрээ угаа” танд хөдөлшгүй итгэл найдвартайгаар, бас нугаршгүй тууштайгаар хүсэл тэмүүлэл дүүрэн, хэзээ ч бууж өгөлгүйгээр, аз жаргалтай амьдрах ухааныг заах болно."
66,"Одоо тэнд байгаа авто замыг өргөсгөж, үлдсэн талбайг тохижуулах ажил хийгдэнэ."
67,Солонгосын тал Солонгосын хойг болон Зүүн хойд Азийн энх тайван аюулгүй байдлыг хангахад чиглэсэн Монгол Улсын оруулж буй хувь нэмрийг өндрөөр үнэлж байгааг тэмдэглэв.
68,Эхлээд засаг төрд нь санал болгоход түүнээс нь татгалзсан байх жишээтэй.
69,"Үүнээс гадна Оросын эрх баригчид, төрийн байгууллагууд, улс орны бэлгэдэл, үндсэн хуулийг онлайн орчинд доромжилсон этгээдэд 100,000 хүртэл рублийн торгууль оногдуулна."
70,Уралдааны морины пүүс гэхэд л зуу гаруй адуутай байдаг байх СУРАВ Тэгвэл энэ адуучин 240 гаруй адуутай юм байна.
71,Энэ хугацаанд охидуудын дунд олон асуудлууд гарч ирдэг.
72,"Гэхдээ бид ширээний ард соёлтой, ухаалгаар шийдэх ёстой."
73,Эхийн алдар 2-р зэргийн одонгоор шагнуулсан.
74,дэмбээ дахин орж ирэх НЭВТ Монгол орон адуугаараа дэлхийд арвын дотор багтдаг.
75,"Тэр машины жолооч нараас энэ машины сайн тал нь юу байна, дутагдал нь юу болох, түүнийг яаж өөрчлөх вэ гэсэн саналыг жил бүр авдаг байв."
76,"Ёслолд Монгол Улсын Засгийн газрын тэргүүн, Энэтхэгийн Дотоод хэргийн сайд Ражнат Сингх хамт оролцсон нь төслийн ач холбогдлыг дэлхий нийтэд харуулсан."
77,"Харин өмнөх сартай нь харьцуулахад арван нэгдүгээр сард импорт 495.9 сая ам.доллар болж, 126.1 сая доллар буюу бараг 20 хувь буурчээ."
78,"Сумын аварга мэргэжилтнээр 2 удаа, аймгийн аваргаар 1 удаа, Эрүүл Мэндийн Яамны хүндэт жуухаар шагнагдан, Тэргүүний ажилтан цол тэмдэг хүртжээ."
79,"Энэ онд хүлээгдэж буй гүйцэтгэлээр: 59.5 мянган хүн нийгмийн халамжийн тэтгэвэр, 59.1 мянган хүн асаргааны тэтгэмж, 42.2 мянган хүн"
80,Цаасны ч хэрэг байхгүй.
81,Энэ ажил 13 жил үргэлжилж 400 сая доллар зарцуулжээ.
82,"Ард түмэн төрөө төлөөллийн хүнээрээ дамжуулж төрөө мэднэ үү гэхээс өөрсдөө цугларч хуулиа батлаад, өөрсдөө хүн шийтгээд яваггүй биз дээ?"
83,"Яармагийн гүүрний ачаалал гурав дахин буурна Шинээр ашиглалтад орж буй Яармагийн гүүр нь дөрвөн эгнээ бүхий 250 метр урт, 20.5 метр өргөнтэй."
84,"Үнэ: Зузаан тааран уут хоёр ширхэг- 5,500 төгрөг Нимгэн тааран уут хоёр ширхэг- 4,500 төгрөг Нейлон уут хоёр ширхэг- 3,500 төгрөг"
85,Оросууд арга ядаад мөнгө барьж байх Козин гэгчийг явуулжээ.
86,"Албан бичгээр нэрсээ өгсөн бол Нийслэлийн Иргэдийн Төлөөлөгчдийн Хурлын хуралд орж, саналаа хэлэх боломж байсан."
87,"Нийгмийн бодлого, боловсрол, соёл, шинжлэх ухааны байнгын хорооны өнөөдрийн хуралдаанаар Хүүхдийн эрхийн тухай болон Хүүхэд хамгааллын тухай хуулийн хэрэгжилтийн талаар Хөдөлмөр, нийгмийн хамгааллын сайдын мэдээлэл сонсов."
88,Уулзалтын үеэр Пап лам Солонгосын хойгт энх тайван тогтоох үйлсийг тууштай дэмжиж байгаа илэрхийлжээ.
89,Одоо ч гэсэн манайд ажилласаар л байна.
90,“Мэргэжлийн хяналтын байцаагчид газар дээр нь арга хэмжээ авдаг болмоор байна” Өмнөх уулзалт буюу наймдугаар сарын 30-наас өнөөдрийг хүртэлх хугацаанд Мэргэжлийн Хяналтын Ерөнхий Газраас авч хэрэгжүүлсэн арга хэмжээний талаар танилцуулав.
91,"Бага насаа бусдын адил ясли, сургуулиар хүмүүжсэн."
92,"Ийм хүмүүсийн ажил амьдрал дээр гаргаж байгаа шийдвэрүүд илүү бодитой, үр дүнтэй шийдвэрлэх магадлалтай байдгийг олон судалгаа харуулж байна."
93,Вьетнам улсад гэхэд 1 киловатт.
94,Одоо Парист өндөр хамгаалалттай шилэн хоргонд хадгалагддаг цилиндр хэлбэртэй металл хайлшийг килограммын эталонд тооцдог.
95,Энэхүү арга хэмжээний үеэр Монгол Улсын Засгийн газрыг төлөөлж Улсын Их Хурлын гишүүн А.Ундраа хэлсэн үгэндээ
96,Хүүхдийн тасагт Залуучуудын гавшгайч бригад байгуулж залуу сувилагч нарыг татан ажиллуулсан.
97,Ингээд хөрөнгө босгох гэж заримыг нь зарсан.
98,Хараат бус байдлын шагналын эзэн Филиппиний сэтгүүлч Индая Эспина-Варонагийн нь эмзэг асуудлуудын талаарх дэлгэрэнгүй сурвалжилга болоод эмэгтэйчүүдийг үзэн ядах
99,Энэхүү амжилтыг олон улсын түвшинтэй харьцуулбал 2017 онд дэлхийн улс орнууд боловсролын салбарын төсвийн дунджаар 6.6 хувийг сургуулийн өмнөх боловсролд зарцуулжээ.
100,"Жишээлбэл, Л.Энхболд гишүүний нэрийг нүүрсний хулгайн асуудлыг хөндөж, шүүхэд хандсан учраас оруулж ирсэн."
101,Статистик сонирхуулбал 2016 оны байдлаар үүссэн нийт дата-ны 90% нь 2016 онд үүссэн байсан бол түүнээс хойш жил болгон 2 дахин нэмэгдсэн байна.
102,ХЯТАДЫН ХЭМНЭЛ 4 НЭВТРҮҮЛЭГ
103,Тиймээс хий алдаж байсан хэсгийг чангалах явцдаа тэд метан хийнд хордож ухаан алдсан байна.
104,"4 хүүхэд төрүүлж өсгөсөн нь Д.Алтанцэцэг, Д.Алтанчимэг, Д.Алтантуяа, Д.Алтанхүү нар бөгөөд бидний аав"
105,"Түүнчлэн иргэд, оршин суугчид, Аж ахуй нэгж үүд уг төслийн бүтээн байгуулалтын ажил, газар чөлөөлөлт, дэд бүтцэд холбогдож амьдрах орчноо сайжруулах,"
106,Олон улсын хэмжээнд 4 сарын импортын хэрэгцээг хангах хэмжээнд байх нь хангалттай гэж үздэг байна.
107,Өнөөдрийн байдлаар тус алдаа 90 гаруй хувьтай засагдсан байна.
108,1974 онд Төв Жаргалант арван жилийн дунд сургуульд элсэн орж 1984 онд төгссөн.
109,Цагдаагийн байгууллагад олон нийтийн цагдаагаар ажиллахыг хүссэн өргөдөл
110,Тэмээний дэргэд өссөн хүүхдүүд тэмээнийхээ тухай юу ярих бол МӨНХБАТ Тэмээ сүрлэг сайхан амьтан.
111,"Монголоор ирэв, ирсэн гэсэн утгатай үг."
112,Хэнээс яаж дамжиж ирсэн нь төдийлөн ач холбогдолтой биш.
113,"Манай Бат Солюшн Партнерс компани Монголын дауны холбоо, Монголын тусгай олимпын хороотой байнга хамтран ажилладаг."
114,Өчигдөр Оросын Холбооны Улсын ерөнхийлөгч Владимир Путин эх оронд нь айлчилж байгаа Америкийн Нэгдсэн Улсын үндэсний аюулгүй байдлын зөвлөх Жон Болтоныг Кремлийн ордонд хүлээн авч уулзжээ.
115,"Төсвийн зарлага, тойргийн хөрөнгө оруулалтын тухайд Ганц гэгээтэй зүйл гарч байгааг дурдахгүй өнгөрч болохгүй."
116,"Тэрбээр “Замын ажил ерөнхий төлөвлөгөөний төлөвлөлтөд ороод зураг төсөл нь батлагдаад ажил эхлэхийг мэдсээр байж өөрсдөө дундуур нь орж барилгаа уралдаж барьчхаад, замын ажил хийлгэхгүй, гүйцэтгэгч компаний шаардлагыг биелүүлэхгүй"
117,Саяхан цасны ирвэсийн тухай нэвтрүүлэг сонслоо.
118,Индонез улс нь дэлхийн хамгийн олон муслим хүн амтай улс боловч ганцхан Ачех мужид Исламын хатуу хууль үйлчилдэг ажээ.
119,Ийм л юм ярьдаг хүнтэй та хамтарч ажиллах нь дээ.
120,Эдний нэг нь Монгол Улсын Авилгатай тэмцэх газар юм.
